file_name,data_length,eval_time,Prec.,Rec.,F1,Ord.,R.L.,B.S.,Comp.,Eff.,Pos.,Rel.
MRAMG-Arxiv,,,,,,,,,,,,
Rule-based,,,55.42,63.04,57.7,,44.96,94.67,84.2,67.3,75.75,69.1
MLLM-based,,,60.39,74.29,64.23,,44.25,95.15,87.5,86.2,90.39,89.4
LLM-based,,,65.28,76.54,68.54,,44.13,95.23,88.9,82.7,84.84,86
arxiv_T-gpt-4o_V-gpt-4o_J-gpt-4o.jsonl,200,2026-03-10 00:24:21,0.6195,0.8975,0.703214286,0.62956746,0.333746031,0.872017186,4.83,3.88,0.93,4.18
MRAMG-Manual,,,,,,,,,,,,
Rule-based,,,36.45,47.97,38.32,32.1,50.82,91.51,79.08,73.44,71.66,75.79
MLLM-based,,,35.07,33.78,32.44,24.5,44.68,91.16,79.59,73.28,73.38,75.49
LLM-based,,,34.02,46.48,36.78,35.8,45.99,91.46,78.05,75.64,71.65,77.59
manual_T-gpt-4o_V-gpt-4o_J-gpt-4o.jsonl,390,2026-03-10 00:40:20,0.430345118,0.651923077,0.457724033,0.415270885,0.388391008,0.85927069,4.338461538,3.297435897,0.728205128,4.192307692
MRAMG-Recipe,,,,,,,,,,,,
Rule-based,,,48.79,66.11,52.76,45.3,51.8,92.1,79.19,74.64,78.04,77.8
MLLM-based,,,45.2,46.49,42.25,33.7,45.74,92.72,81.65,74.64,78.01,77.31
LLM-based,,,49.7,65.03,51.91,43.59,44.75,92.42,81.02,79.38,81.88,82.58
recipe_T-gpt-4o_V-gpt-4o_J-gpt-4o.jsonl,2360,2026-03-10 02:14:54,0.59407657,0.742909605,0.606037782,0.530099656,0.36790943,0.870752796,4.3,2.880508475,0.533898305,3.770762712
MRAMG-Web,,,,,,,,,,,,
Rule-based,,,32.47,16.93,22.11,,39.17,90.56,73.87,27.81,32.8,29.47
MLLM-based,,,89.78,83.8,85.47,,52.09,95.14,91.25,90.08,93.74,94.27
LLM-based,,,86.18,78.73,81.15,,54.87,95.96,89.52,82.37,87.02,86.21
web_T-gpt-4o_V-gpt-4o_J-gpt-4o.jsonl,750,2026-03-10 02:38:14,0,0,0,0,0.430971205,0.906111142,4.916,4.249333333,0.981333333,4.656
MRAMG-Wiki,,,,,,,,,,,,
Rule-based,,,53,53,53,,54.62,95.15,82.24,42.56,53,46.6
MLLM-based,,,71.3,71.6,71.4,,53.34,95.7,83.32,58.28,71.4,63.32
LLM-based,,,81.4,81.6,81.47,,51.53,95.66,83.72,65.76,81.4,72.28
wiki_T-gpt-4o_V-gpt-4o_J-gpt-4o.jsonl,500,2026-03-10 02:53:22,0.980666667,0.984,0.981666667,0.968444444,0.348002357,0.890119479,4.558,2.944,0.95,4.592
MRAMG-Wit,,,,,,,,,,,,
Rule-based,,,49.5,49.67,49.56,,56.23,92.27,77,39.5,50.08,43.67
MLLM-based,,,83.5,84,83.67,,54.84,93.32,81.5,68.13,84.33,74.67
LLM-based,,,73.75,73.83,73.78,,52.8,93.02,82.7,60.03,74.42,66.13
wit_T-gpt-4o_V-gpt-4o_J-gpt-4o.jsonl,533,2026-03-10 03:11:43,0.965916198,0.969981238,0.967166979,0.965186575,0.359271617,0.900080445,4.806754221,3.410881801,0.981238274,4.636022514
